request_id,success,status_code,error,latency_ms,first_frame_latency_ms,response_bytes,start_time,end_time,relative_end_second,body_template_index,body_template_label,debug_info
5,True,200,,105949.90670005791,105949.90670005791,10785,2026-06-25 20:49:14.915,2026-06-25 20:51:00.864,108,5,Body #5,
1,False,502,HTTPError: HTTP Error 502: Bad Gateway,125373.08289995417,125373.08289995417,0,2026-06-25 20:49:12.688,2026-06-25 20:51:18.061,125,9,Body #9,
2,False,502,HTTPError: HTTP Error 502: Bad Gateway,125579.48979991488,125579.48979991488,0,2026-06-25 20:49:13.245,2026-06-25 20:51:18.824,126,8,Body #8,
3,False,502,HTTPError: HTTP Error 502: Bad Gateway,125515.61510004103,125515.61510004103,0,2026-06-25 20:49:13.801,2026-06-25 20:51:19.317,126,8,Body #8,
4,False,502,HTTPError: HTTP Error 502: Bad Gateway,125381.97169988416,125381.97169988416,0,2026-06-25 20:49:14.358,2026-06-25 20:51:19.740,127,9,Body #9,
6,False,502,HTTPError: HTTP Error 502: Bad Gateway,125354.09729997627,125354.09729997627,0,2026-06-25 20:49:15.472,2026-06-25 20:51:20.825,128,9,Body #9,
7,False,502,HTTPError: HTTP Error 502: Bad Gateway,125497.84660013393,125497.84660013393,0,2026-06-25 20:49:16.029,2026-06-25 20:51:21.526,128,8,Body #8,
8,False,502,HTTPError: HTTP Error 502: Bad Gateway,125411.35559999384,125411.35559999384,0,2026-06-25 20:49:16.585,2026-06-25 20:51:21.995,129,7,Body #7,
9,False,502,HTTPError: HTTP Error 502: Bad Gateway,125502.91949999519,125502.91949999519,0,2026-06-25 20:49:17.141,2026-06-25 20:51:22.643,129,5,Body #5,
10,False,502,HTTPError: HTTP Error 502: Bad Gateway,125399.38599988818,125399.38599988818,0,2026-06-25 20:49:17.698,2026-06-25 20:51:23.097,130,1,Body #1,
11,False,502,HTTPError: HTTP Error 502: Bad Gateway,125495.28459995054,125495.28459995054,0,2026-06-25 20:51:00.865,2026-06-25 20:53:06.359,233,2,Body #2,
16,True,200,,105545.22830015048,105545.22830015048,5699,2026-06-25 20:51:20.826,2026-06-25 20:53:06.370,233,3,Body #3,
12,False,502,HTTPError: HTTP Error 502: Bad Gateway,125351.90240014344,125351.90240014344,0,2026-06-25 20:51:18.061,2026-06-25 20:53:23.412,250,10,Body #10,
13,False,502,HTTPError: HTTP Error 502: Bad Gateway,125496.9971999526,125496.9971999526,0,2026-06-25 20:51:18.824,2026-06-25 20:53:24.320,251,5,Body #5,
14,False,502,HTTPError: HTTP Error 502: Bad Gateway,125530.47490003519,125530.47490003519,0,2026-06-25 20:51:19.317,2026-06-25 20:53:24.846,252,2,Body #2,
15,False,502,HTTPError: HTTP Error 502: Bad Gateway,125505.34260016866,125505.34260016866,0,2026-06-25 20:51:19.740,2026-06-25 20:53:25.244,252,8,Body #8,
17,False,502,HTTPError: HTTP Error 502: Bad Gateway,125424.43640017882,125424.43640017882,0,2026-06-25 20:51:21.526,2026-06-25 20:53:26.949,254,11,Body #11,
18,False,502,HTTPError: HTTP Error 502: Bad Gateway,125446.75519992597,125446.75519992597,0,2026-06-25 20:51:21.996,2026-06-25 20:53:27.442,254,9,Body #9,
19,False,502,HTTPError: HTTP Error 502: Bad Gateway,125529.01329984888,125529.01329984888,0,2026-06-25 20:51:22.644,2026-06-25 20:53:28.172,255,8,Body #8,
20,False,502,HTTPError: HTTP Error 502: Bad Gateway,125354.61300006136,125354.61300006136,0,2026-06-25 20:51:23.098,2026-06-25 20:53:28.451,255,11,Body #11,
29,True,200,,103595.92330013402,103595.92330013402,5755,2026-06-25 20:53:28.172,2026-06-25 20:55:11.767,359,3,Body #3,
21,False,502,HTTPError: HTTP Error 502: Bad Gateway,125450.88529982604,125450.88529982604,0,2026-06-25 20:53:06.359,2026-06-25 20:55:11.810,359,11,Body #11,
22,False,502,HTTPError: HTTP Error 502: Bad Gateway,125450.90910000727,125450.90910000727,0,2026-06-25 20:53:06.370,2026-06-25 20:55:11.821,359,9,Body #9,
23,False,502,HTTPError: HTTP Error 502: Bad Gateway,125382.78129999526,125382.78129999526,0,2026-06-25 20:53:23.412,2026-06-25 20:55:28.795,376,10,Body #10,
24,False,502,HTTPError: HTTP Error 502: Bad Gateway,125365.12429988943,125365.12429988943,0,2026-06-25 20:53:24.320,2026-06-25 20:55:29.685,376,9,Body #9,
25,False,502,HTTPError: HTTP Error 502: Bad Gateway,125344.55380006693,125344.55380006693,0,2026-06-25 20:53:24.847,2026-06-25 20:55:30.190,377,9,Body #9,
26,False,502,HTTPError: HTTP Error 502: Bad Gateway,125564.98160003684,125564.98160003684,0,2026-06-25 20:53:25.244,2026-06-25 20:55:30.809,378,8,Body #8,
27,False,502,HTTPError: HTTP Error 502: Bad Gateway,125377.3633998353,125377.3633998353,0,2026-06-25 20:53:26.950,2026-06-25 20:55:32.326,379,6,Body #6,
28,False,502,HTTPError: HTTP Error 502: Bad Gateway,125467.15850010514,125467.15850010514,0,2026-06-25 20:53:27.442,2026-06-25 20:55:32.909,380,7,Body #7,
30,False,502,HTTPError: HTTP Error 502: Bad Gateway,125306.71239993535,125306.71239993535,0,2026-06-25 20:53:28.451,2026-06-25 20:55:33.757,381,4,Body #4,
