request_id,success,status_code,error,latency_ms,first_frame_latency_ms,response_bytes,start_time,end_time,relative_end_second,body_template_index,body_template_label,debug_info
1,False,,FirstFrameTimeout: 10.0 seconds,10023.684100015089,0,0,2026-06-25 21:47:23.946,2026-06-25 21:47:33.970,10,1,Body #1,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=173"
2,False,,FirstFrameTimeout: 10.0 seconds,10018.039700109512,0,0,2026-06-25 21:47:25.058,2026-06-25 21:47:35.076,11,2,Body #2,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=166"
3,False,,FirstFrameTimeout: 10.0 seconds,10022.495300043374,0,0,2026-06-25 21:47:26.170,2026-06-25 21:47:36.192,12,3,Body #3,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=184"
4,False,,FirstFrameTimeout: 10.0 seconds,10012.886099983007,0,0,2026-06-25 21:47:27.282,2026-06-25 21:47:37.294,13,4,Body #4,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=177"
5,False,,FirstFrameTimeout: 10.0 seconds,10017.47790002264,0,0,2026-06-25 21:47:28.394,2026-06-25 21:47:38.411,14,5,Body #5,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=177"
6,False,,FirstFrameTimeout: 10.0 seconds,10012.600199785084,0,0,2026-06-25 21:47:29.506,2026-06-25 21:47:39.519,15,6,Body #6,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=190"
7,False,,FirstFrameTimeout: 10.0 seconds,10016.020300099626,0,0,2026-06-25 21:47:30.619,2026-06-25 21:47:40.635,16,7,Body #7,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=164"
8,False,,FirstFrameTimeout: 10.0 seconds,10023.498700000346,0,0,2026-06-25 21:47:31.732,2026-06-25 21:47:41.754,17,8,Body #8,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=166"
9,False,,FirstFrameTimeout: 10.0 seconds,10017.074499977753,0,0,2026-06-25 21:47:32.843,2026-06-25 21:47:42.860,18,9,Body #9,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=245"
10,False,,FirstFrameTimeout: 10.0 seconds,10010.668199975044,0,0,2026-06-25 21:47:33.955,2026-06-25 21:47:43.966,20,10,Body #10,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=292"
11,False,,FirstFrameTimeout: 10.0 seconds,10011.140699964017,0,0,2026-06-25 21:47:33.970,2026-06-25 21:47:43.981,20,1,Body #1,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=173"
12,False,,FirstFrameTimeout: 10.0 seconds,10024.277999997139,0,0,2026-06-25 21:47:35.077,2026-06-25 21:47:45.100,21,2,Body #2,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=166"
13,False,,FirstFrameTimeout: 10.0 seconds,10021.90940012224,0,0,2026-06-25 21:47:36.192,2026-06-25 21:47:46.214,22,3,Body #3,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=184"
14,False,,FirstFrameTimeout: 10.0 seconds,10021.985600003973,0,0,2026-06-25 21:47:37.295,2026-06-25 21:47:47.317,23,4,Body #4,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=177"
15,False,,FirstFrameTimeout: 10.0 seconds,10011.803600005805,0,0,2026-06-25 21:47:38.411,2026-06-25 21:47:48.424,24,5,Body #5,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=177"
16,False,,FirstFrameTimeout: 10.0 seconds,10024.194699944928,0,0,2026-06-25 21:47:39.519,2026-06-25 21:47:49.543,25,6,Body #6,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=190"
17,False,,FirstFrameTimeout: 10.0 seconds,10012.336499989033,0,0,2026-06-25 21:47:40.635,2026-06-25 21:47:50.647,26,7,Body #7,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=164"
18,False,,FirstFrameTimeout: 10.0 seconds,10012.1643000748,0,0,2026-06-25 21:47:41.754,2026-06-25 21:47:51.767,27,8,Body #8,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=166"
19,False,,FirstFrameTimeout: 10.0 seconds,10018.842699937522,0,0,2026-06-25 21:47:42.861,2026-06-25 21:47:52.879,28,9,Body #9,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=245"
20,False,,FirstFrameTimeout: 10.0 seconds,10024.01479985565,0,0,2026-06-25 21:47:43.966,2026-06-25 21:47:53.989,30,10,Body #10,"target=47.94.77.104:8004, method_path=/com.tcl.xr.voice.message.AlgorithmNlpService/Chat, request=com.tcl.xr.voice.message.ChatRequest, response=com.tcl.xr.voice.message.ChatResponse, server_streaming=True, payload_bytes=292"
