request_id,success,status_code,error,latency_ms,first_frame_latency_ms,response_bytes,start_time,end_time,relative_end_second,body_template_index,body_template_label,debug_info
23,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",490.4332000296563,490.4332000296563,63,2026-06-25 21:25:01.773,2026-06-25 21:25:02.264,3,1,Body #1,
22,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",529.6676999423653,529.6676999423653,63,2026-06-25 21:25:01.761,2026-06-25 21:25:02.291,3,11,Body #11,
24,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",629.4251999352127,629.4251999352127,63,2026-06-25 21:25:01.841,2026-06-25 21:25:02.470,3,2,Body #2,
26,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",530.4988999851048,530.4988999851048,63,2026-06-25 21:25:02.166,2026-06-25 21:25:02.696,4,4,Body #4,
28,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",509.1126998886466,509.1126998886466,63,2026-06-25 21:25:02.235,2026-06-25 21:25:02.744,4,6,Body #6,
31,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",484.32189994491637,484.32189994491637,63,2026-06-25 21:25:02.291,2026-06-25 21:25:02.775,4,9,Body #9,
32,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",491.05000006966293,491.05000006966293,63,2026-06-25 21:25:02.301,2026-06-25 21:25:02.792,4,10,Body #10,
27,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",642.4482001457363,642.4482001457363,63,2026-06-25 21:25:02.168,2026-06-25 21:25:02.810,4,5,Body #5,
29,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",547.707799822092,547.707799822092,63,2026-06-25 21:25:02.262,2026-06-25 21:25:02.810,4,7,Body #7,
30,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",628.8576000370085,628.8576000370085,63,2026-06-25 21:25:02.265,2026-06-25 21:25:02.894,4,8,Body #8,
33,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",470.7876001484692,470.7876001484692,63,2026-06-25 21:25:02.471,2026-06-25 21:25:02.942,4,11,Body #11,
36,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",392.2242000699043,392.2242000699043,63,2026-06-25 21:25:02.775,2026-06-25 21:25:03.168,4,3,Body #3,
34,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",502.5454999413341,502.5454999413341,63,2026-06-25 21:25:02.697,2026-06-25 21:25:03.200,4,1,Body #1,
37,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",474.70750007778406,474.70750007778406,63,2026-06-25 21:25:02.792,2026-06-25 21:25:03.267,4,4,Body #4,
35,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",566.324100131169,566.324100131169,63,2026-06-25 21:25:02.744,2026-06-25 21:25:03.311,4,2,Body #2,
39,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",501.355699962005,501.355699962005,63,2026-06-25 21:25:02.810,2026-06-25 21:25:03.312,4,6,Body #6,
38,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",556.9911999627948,556.9911999627948,63,2026-06-25 21:25:02.810,2026-06-25 21:25:03.367,4,5,Body #5,
40,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",549.0248000714928,549.0248000714928,63,2026-06-25 21:25:02.828,2026-06-25 21:25:03.378,4,7,Body #7,
42,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",459.2592001426965,459.2592001426965,63,2026-06-25 21:25:02.942,2026-06-25 21:25:03.401,4,9,Body #9,
41,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",555.0255000125617,555.0255000125617,63,2026-06-25 21:25:02.894,2026-06-25 21:25:03.449,4,8,Body #8,
44,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",492.61710001155734,492.61710001155734,63,2026-06-25 21:25:03.200,2026-06-25 21:25:03.693,5,11,Body #11,
47,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",402.2371999453753,402.2371999453753,63,2026-06-25 21:25:03.312,2026-06-25 21:25:03.715,5,3,Body #3,
43,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",569.6572000160813,569.6572000160813,63,2026-06-25 21:25:03.168,2026-06-25 21:25:03.738,5,10,Body #10,
45,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",513.6994998902082,513.6994998902082,63,2026-06-25 21:25:03.268,2026-06-25 21:25:03.782,5,1,Body #1,
50,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",451.516899978742,451.516899978742,63,2026-06-25 21:25:03.378,2026-06-25 21:25:03.830,5,6,Body #6,
48,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",483.918400015682,483.918400015682,63,2026-06-25 21:25:03.356,2026-06-25 21:25:03.840,5,4,Body #4,
49,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",594.0879001282156,594.0879001282156,63,2026-06-25 21:25:03.368,2026-06-25 21:25:03.962,5,5,Body #5,
