request_id,success,status_code,error,latency_ms,first_frame_latency_ms,response_bytes,start_time,end_time,relative_end_second,body_template_index,body_template_label,debug_info
1,True,200,,431.3034999649972,431.3034999649972,473,2026-06-25 21:20:50.381,2026-06-25 21:20:50.815,0,1,Body #1,
2,True,200,,434.5573000609875,434.5573000609875,473,2026-06-25 21:20:50.586,2026-06-25 21:20:51.021,0,2,Body #2,
3,True,200,,429.88410010002553,429.88410010002553,473,2026-06-25 21:20:50.789,2026-06-25 21:20:51.219,0,3,Body #3,
4,True,200,,428.5930001642555,428.5930001642555,473,2026-06-25 21:20:50.815,2026-06-25 21:20:51.244,0,4,Body #4,
6,True,200,,482.86150000058115,482.86150000058115,473,2026-06-25 21:20:51.021,2026-06-25 21:20:51.504,1,6,Body #6,
5,True,200,,535.9920999035239,535.9920999035239,473,2026-06-25 21:20:50.992,2026-06-25 21:20:51.528,1,5,Body #5,
7,True,200,,429.885899880901,429.885899880901,469,2026-06-25 21:20:51.194,2026-06-25 21:20:51.625,1,7,Body #7,
9,True,200,,428.39840007945895,428.39840007945895,473,2026-06-25 21:20:51.244,2026-06-25 21:20:51.673,1,9,Body #9,
8,True,200,,502.70369998179376,502.70369998179376,473,2026-06-25 21:20:51.219,2026-06-25 21:20:51.722,1,8,Body #8,
10,True,200,,472.8415999561548,472.8415999561548,473,2026-06-25 21:20:51.397,2026-06-25 21:20:51.870,1,10,Body #10,
12,True,200,,425.8413999341428,425.8413999341428,473,2026-06-25 21:20:51.528,2026-06-25 21:20:51.954,1,2,Body #2,
11,True,200,,462.8669999074191,462.8669999074191,473,2026-06-25 21:20:51.505,2026-06-25 21:20:51.967,1,1,Body #1,
13,True,200,,452.280200086534,452.280200086534,473,2026-06-25 21:20:51.600,2026-06-25 21:20:52.053,1,3,Body #3,
14,True,200,,436.88399996608496,436.88399996608496,473,2026-06-25 21:20:51.625,2026-06-25 21:20:52.062,1,4,Body #4,
15,True,200,,438.1874999962747,438.1874999962747,473,2026-06-25 21:20:51.673,2026-06-25 21:20:52.111,1,5,Body #5,
16,True,200,,481.9094000849873,481.9094000849873,473,2026-06-25 21:20:51.722,2026-06-25 21:20:52.204,1,6,Body #6,
17,True,200,,439.6905000321567,439.6905000321567,469,2026-06-25 21:20:51.803,2026-06-25 21:20:52.243,1,7,Body #7,
18,True,200,,430.36080012097955,430.36080012097955,473,2026-06-25 21:20:51.871,2026-06-25 21:20:52.301,1,8,Body #8,
20,True,200,,413.28179999254644,413.28179999254644,473,2026-06-25 21:20:51.968,2026-06-25 21:20:52.381,1,10,Body #10,
19,True,200,,493.49389993585646,493.49389993585646,473,2026-06-25 21:20:51.954,2026-06-25 21:20:52.448,2,9,Body #9,
21,True,200,,489.69090008176863,489.69090008176863,473,2026-06-25 21:20:52.006,2026-06-25 21:20:52.496,2,1,Body #1,
23,True,200,,436.6208999417722,436.6208999417722,473,2026-06-25 21:20:52.062,2026-06-25 21:20:52.499,2,3,Body #3,
22,True,200,,503.96010000258684,503.96010000258684,473,2026-06-25 21:20:52.053,2026-06-25 21:20:52.557,2,2,Body #2,
24,True,200,,523.5812000464648,523.5812000464648,473,2026-06-25 21:20:52.111,2026-06-25 21:20:52.635,2,4,Body #4,
26,True,200,,426.8501000478864,426.8501000478864,473,2026-06-25 21:20:52.209,2026-06-25 21:20:52.635,2,6,Body #6,
25,True,200,,475.02849996089935,475.02849996089935,473,2026-06-25 21:20:52.204,2026-06-25 21:20:52.680,2,5,Body #5,
27,True,200,,478.55750005692244,478.55750005692244,469,2026-06-25 21:20:52.244,2026-06-25 21:20:52.722,2,7,Body #7,
28,True,200,,515.7985999248922,515.7985999248922,473,2026-06-25 21:20:52.301,2026-06-25 21:20:52.817,2,8,Body #8,
29,True,200,,460.9215999953449,460.9215999953449,473,2026-06-25 21:20:52.381,2026-06-25 21:20:52.842,2,9,Body #9,
30,True,200,,490.75170001015067,490.75170001015067,473,2026-06-25 21:20:52.412,2026-06-25 21:20:52.902,2,10,Body #10,
31,True,200,,461.81129990145564,461.81129990145564,473,2026-06-25 21:20:52.448,2026-06-25 21:20:52.910,2,1,Body #1,
33,True,200,,415.9870999865234,415.9870999865234,473,2026-06-25 21:20:52.499,2026-06-25 21:20:52.914,2,3,Body #3,
32,True,200,,448.4051000326872,448.4051000326872,473,2026-06-25 21:20:52.496,2026-06-25 21:20:52.945,2,2,Body #2,
35,True,200,,405.8366999961436,405.8366999961436,473,2026-06-25 21:20:52.615,2026-06-25 21:20:53.021,2,5,Body #5,
36,True,200,,400.6497000809759,400.6497000809759,473,2026-06-25 21:20:52.635,2026-06-25 21:20:53.036,2,6,Body #6,
34,True,200,,490.897900192067,490.897900192067,473,2026-06-25 21:20:52.557,2026-06-25 21:20:53.046,2,4,Body #4,
37,True,200,,433.0779002048075,433.0779002048075,469,2026-06-25 21:20:52.636,2026-06-25 21:20:53.069,2,7,Body #7,
38,True,200,,424.9424999579787,424.9424999579787,473,2026-06-25 21:20:52.680,2026-06-25 21:20:53.105,2,8,Body #8,
39,True,200,,477.40620002150536,477.40620002150536,473,2026-06-25 21:20:52.723,2026-06-25 21:20:53.200,2,9,Body #9,
41,True,200,,428.15679986961186,428.15679986961186,473,2026-06-25 21:20:52.818,2026-06-25 21:20:53.246,2,1,Body #1,
40,True,200,,500.6496000569314,500.6496000569314,473,2026-06-25 21:20:52.818,2026-06-25 21:20:53.318,2,10,Body #10,
42,True,200,,476.18329990655184,476.18329990655184,473,2026-06-25 21:20:52.842,2026-06-25 21:20:53.319,2,2,Body #2,
44,True,200,,460.50869999453425,460.50869999453425,473,2026-06-25 21:20:52.911,2026-06-25 21:20:53.371,2,4,Body #4,
43,True,200,,482.3696000967175,482.3696000967175,473,2026-06-25 21:20:52.904,2026-06-25 21:20:53.386,3,3,Body #3,
45,True,200,,473.6240999773145,473.6240999773145,473,2026-06-25 21:20:52.915,2026-06-25 21:20:53.389,3,5,Body #5,
46,True,200,,453.66030000150204,453.66030000150204,473,2026-06-25 21:20:52.945,2026-06-25 21:20:53.399,3,6,Body #6,
51,True,200,,457.12490007281303,457.12490007281303,473,2026-06-25 21:20:53.070,2026-06-25 21:20:53.527,3,1,Body #1,
50,True,200,,486.7039998061955,486.7039998061955,473,2026-06-25 21:20:53.046,2026-06-25 21:20:53.535,3,10,Body #10,
48,True,200,,515.0493998080492,515.0493998080492,473,2026-06-25 21:20:53.021,2026-06-25 21:20:53.536,3,8,Body #8,
47,True,200,,520.8928999491036,520.8928999491036,469,2026-06-25 21:20:53.021,2026-06-25 21:20:53.542,3,7,Body #7,
49,True,200,,515.6213000882417,515.6213000882417,473,2026-06-25 21:20:53.036,2026-06-25 21:20:53.552,3,9,Body #9,
52,True,200,,494.7401999961585,494.7401999961585,473,2026-06-25 21:20:53.105,2026-06-25 21:20:53.600,3,2,Body #2,
53,True,200,,498.7480998970568,498.7480998970568,473,2026-06-25 21:20:53.200,2026-06-25 21:20:53.699,3,3,Body #3,
54,True,200,,477.48700017109513,477.48700017109513,473,2026-06-25 21:20:53.224,2026-06-25 21:20:53.702,3,4,Body #4,
55,True,200,,497.6449999958277,497.6449999958277,473,2026-06-25 21:20:53.247,2026-06-25 21:20:53.744,3,5,Body #5,
56,True,200,,444.0763001330197,444.0763001330197,473,2026-06-25 21:20:53.319,2026-06-25 21:20:53.763,3,6,Body #6,
57,True,200,,497.9024000931531,497.9024000931531,469,2026-06-25 21:20:53.319,2026-06-25 21:20:53.817,3,7,Body #7,
58,True,200,,469.293300062418,469.293300062418,473,2026-06-25 21:20:53.372,2026-06-25 21:20:53.841,3,8,Body #8,
59,True,200,,464.19059997424483,464.19059997424483,473,2026-06-25 21:20:53.386,2026-06-25 21:20:53.850,3,9,Body #9,
60,True,200,,465.2071001473814,465.2071001473814,473,2026-06-25 21:20:53.389,2026-06-25 21:20:53.855,3,10,Body #10,
